relative_path,extension,size_bytes,reachable,depth,is_entry,is_grain,included_by_count,includes_count
"coreLib/AlphaAccessSequenceGenerator.h",.h,1564,False,-1,False,False,0,0
"coreLib/Ast_core_inl.h",.h,7298,True,6,False,False,2,3
"coreLib/Axp_Attributes_core.h",.h,6693,True,2,False,False,700,0
"coreLib/BitUtils.h",.h,8093,True,5,False,False,3,0
"coreLib/BoxRequest.h",.h,9985,True,4,False,False,7,1
"coreLib/BranchPredictionStats.h",.h,980,False,-1,False,False,0,0
"coreLib/CPURegistryEntry.h",.h,2463,False,-1,False,False,0,0
"coreLib/CallStackTracker.h",.h,2073,False,-1,False,False,0,1
"coreLib/CurrentCpuTls.h",.h,1903,True,7,False,False,4,0
"coreLib/DMA_core.h",.h,673,False,-1,False,False,3,0
"coreLib/EXC_SUM_helpers.h",.h,12271,False,-1,False,False,0,0
"coreLib/EXECTRACE_Macros.h",.h,14799,True,5,False,False,3,4
"coreLib/EnvironVariables.h",.h,5997,True,5,False,False,2,0
"coreLib/EventLog.cpp",.cpp,16931,True,2,False,False,0,3
"coreLib/EventLog.h",.h,3354,True,1,False,False,3,0
"coreLib/ExecTrace.cpp",.cpp,44947,True,4,False,False,0,5
"coreLib/ExecTrace.h",.h,13477,True,3,False,False,6,2
"coreLib/ExecTraceMacros.h",.h,3820,True,5,False,False,2,0
"coreLib/ExecTrace_instrumentation.cpp",.cpp,1095,False,-1,False,False,0,1
"coreLib/FetchResult.h",.h,3498,True,5,False,False,4,5
"coreLib/HWPCB_AST_Helper_inl.h",.h,774,False,-1,False,False,0,1
"coreLib/HWPCB_IPL_inl.h",.h,1123,False,-1,False,False,0,1
"coreLib/HWPCB_SwapContext.h",.h,2064,True,6,False,False,2,2
"coreLib/HWRPB_core.h",.h,3823,False,-1,False,False,0,0
"coreLib/HWRPB_str.h",.h,3477,False,-1,False,False,0,0
"coreLib/ICCSR_Bits_inl.h",.h,8544,False,-1,False,False,1,0
"coreLib/IConsoleService.h",.h,1264,False,-1,False,False,0,0
